iter	Passed	Remaining
198	702	2826
199	703	2813
200	703	2797
201	704	2781
202	704	2766
203	705	2751
204	706	2739
205	708	2732
206	710	2722
207	712	2711
208	727	2751
209	732	2754
210	732	2739
211	732	2724
212	733	2709
213	733	2694
214	734	2680
215	734	2666
216	735	2655
217	737	2645
218	737	2631
219	738	2617
220	738	2603
221	739	2589
222	739	2576
223	739	2562
224	740	2549
225	740	2536
226	741	2523
227	741	2510
228	741	2497
229	742	2484
230	742	2472
231	743	2459
232	743	2447
233	744	2435
234	744	2423
235	744	2411
236	745	2399
237	745	2387
238	746	2375
239	746	2363
240	746	2352
241	747	2340
242	747	2329
243	748	2318
244	748	2306
245	748	2295
246	749	2284
247	749	2273
248	750	2262
249	750	2251
250	750	2241
251	751	2230
252	751	2219
253	752	2209
254	752	2199
255	753	2188
256	753	2178
257	754	2168
258	754	2158
259	754	2148
260	755	2138
261	755	2128
262	756	2118
263	756	2109
264	756	2099
265	757	2089
266	757	2080
267	762	2083
268	763	2074
269	763	2065
270	764	2056
271	765	2048
272	765	2039
273	766	2029
274	766	2020
275	770	2020
276	772	2015
277	775	2014
278	776	2007
279	777	1998
280	777	1989
281	780	1986
282	783	1983
283	788	1986
284	788	1978
285	789	1970
286	789	1961
287	790	1953
288	790	1945
289	791	1937
290	791	1928
291	794	1925
292	795	1920
293	796	1911
294	797	1904
295	797	1896
296	799	1891
297	800	1885
298	800	1877
299	801	1869
300	802	1863
301	803	1857
302	805	1854
303	806	1846
304	806	1838
305	807	1830
306	808	1824
307	808	1817
308	809	1810
309	810	1804
310	811	1798
311	813	1794
312	817	1794
313	818	1788
314	819	1781
315	821	1778
316	821	1770
317	822	1763
318	822	1756
319	866	1841
320	868	1837
321	869	1830
322	870	1824
323	871	1817
324	871	1809
325	873	1806
326	874	1798
327	874	1791
328	874	1784
329	875	1778
330	877	1774
331	879	1769
332	881	1764
333	883	1761
334	884	1756
335	886	1752
336	889	1749
337	891	1746
338	893	1742
339	894	1736
340	895	1729
341	895	1722
342	896	1717
343	896	1710
344	897	1703
345	897	1696
346	907	1707
347	907	1700
348	908	1693
349	908	1687
350	909	1681
351	909	1674
352	910	1668
353	910	1661
354	913	1659
355	914	1653
356	915	1648
357	917	1645
358	918	1639
359	918	1632
360	919	1627
361	928	1635
362	937	1645
363	940	1643
364	940	1636
365	941	1630
366	941	1623
367	941	1617
368	942	1611
369	942	1605
370	943	1598
371	943	1592
372	944	1586
373	944	1580
374	944	1574
375	945	1568
376	945	1562
377	946	1556
378	946	1550
379	946	1544
380	947	1539
381	947	1533
382	948	1527
383	948	1521
384	949	1515
385	949	1510
386	949	1504
387	955	1506
388	955	1500
389	955	1495
390	956	1489
391	956	1483
392	957	1478
393	957	1472
394	957	1467
395	958	1461
396	958	1456
397	959	1450
398	959	1445
399	959	1439
400	960	1434
401	960	1429
402	961	1423
403	961	1419
404	962	1413
405	962	1408
406	963	1403
407	963	1398
408	963	1392
409	964	1387
410	965	1382
411	965	1378
412	965	1372
413	966	1367
414	966	1362
415	967	1357
416	967	1352
417	968	1347
418	968	1342
419	968	1337
420	969	1332
421	969	1327
422	969	1323
423	970	1318
424	971	1313
425	971	1309
426	972	1304
427	972	1300
428	983	1309
429	996	1320
430	996	1315
431	996	1310
432	997	1306
433	997	1301
434	998	1296
435	998	1291
436	999	1288
437	1000	1283
438	1000	1279
439	1001	1274
440	1002	1270
441	1002	1265
442	1003	1261
443	1003	1257
444	1004	1252
445	1005	1248
446	1017	1258
447	1018	1255
448	1019	1250
449	1019	1245
450	1019	1241
451	1021	1238
452	1023	1235
453	1024	1232
454	1027	1230
455	1028	1226
456	1028	1222
457	1028	1217
458	1029	1213
459	1029	1208
460	1030	1204
461	1030	1200
462	1031	1195
463	1031	1191
464	1031	1187
465	1032	1182
466	1032	1178
467	1034	1175
468	1034	1171
469	1036	1168
470	1036	1164
471	1052	1177
472	1057	1177
473	1062	1179
474	1065	1177
475	1068	1176
476	1071	1174
477	1072	1171
478	1073	1168
479	1074	1163
480	1075	1160
481	1076	1156
482	1078	1154
483	1088	1160
484	1096	1164
485	1105	1169
486	1108	1167
487	1108	1163
488	1109	1159
489	1110	1155
490	1112	1153
491	1112	1149
492	1117	1149
493	1118	1145
494	1119	1142
495	1120	1138
496	1120	1134
497	1121	1130
498	1122	1127
499	1123	1123
500	1123	1119
501	1124	1115
502	1125	1111
503	1125	1108
504	1126	1104
505	1128	1101
506	1129	1097
507	1132	1096
508	1132	1092
509	1133	1088
510	1133	1084
511	1134	1080
512	1136	1078
513	1136	1074
514	1136	1070
515	1137	1066
516	1138	1063
517	1138	1059
518	1139	1055
519	1139	1052
520	1140	1048
521	1140	1044
522	1141	1041
523	1141	1037
524	1143	1034
525	1144	1031
526	1144	1027
527	1145	1023
528	1146	1020
529	1146	1016
530	1147	1013
531	1148	1009
532	1148	1006
533	1150	1004
534	1151	1000
535	1152	997
536	1152	993
537	1152	990
538	1153	986
539	1158	986
540	1158	983
541	1159	979
542	1161	977
543	1161	973
544	1162	970
545	1162	966
546	1162	963
547	1164	960
548	1166	958
549	1166	954
550	1167	951
551	1167	947
552	1174	949
553	1176	946
554	1176	943
555	1177	940
556	1180	939
557	1182	936
558	1184	934
559	1187	932
560	1188	930
561	1188	926
562	1189	923
563	1205	932
564	1213	934
565	1222	937
566	1233	941
567	1238	942
568	1243	941
569	1257	948
570	1267	952
571	1286	962
572	1303	971
573	1322	981
574	1335	987
575	1343	988
576	1347	987
577	1359	992
578	1362	990
579	1365	988
580	1371	988
581	1371	985
582	1372	981
583	1373	978
584	1373	974
585	1374	970
586	1374	967
587	1375	963
588	1375	959
589	1377	957
590	1378	953
591	1379	950
592	1381	947
593	1381	944
594	1381	940
595	1382	936
596	1385	935
597	1387	932
598	1391	931
599	1391	927
600	1391	924
601	1392	920
602	1403	923
603	1403	920
604	1404	916
605	1404	913
606	1405	910
607	1405	906
608	1406	902
609	1407	899
610	1407	896
611	1408	892
612	1408	889
613	1408	885
614	1409	882
615	1409	878
616	1410	875
617	1411	872
618	1415	871
619	1416	868
620	1427	870
621	1427	867
622	1428	864
623	1428	860
624	1428	857
625	1429	853
626	1429	850
627	1430	847
628	1433	845
629	1433	842
630	1434	839
631	1440	838
632	1440	835
633	1440	831
634	1441	828
635	1442	825
636	1443	822
637	1444	819
638	1444	816
639	1445	813
640	1446	810
641	1446	806
642	1447	803
643	1448	800
644	1450	798
645	1451	795
646	1452	792
647	1453	789
648	1455	786
649	1455	783
650	1456	780
651	1457	777
652	1457	774
653	1458	771
654	1458	768
655	1458	765
656	1459	761
657	1459	758
658	1460	755
659	1460	752
660	1461	749
661	1461	746
662	1461	743
663	1464	741
664	1465	738
665	1465	735
666	1466	732
667	1468	729
668	1470	727
669	1471	724
670	1471	721
671	1472	718
672	1472	715
673	1472	712
674	1473	709
675	1474	706
676	1474	703
677	1475	700
678	1477	698
679	1477	695
680	1490	698
681	1496	697
682	1502	697
683	1509	697
684	1513	695
685	1516	694
686	1519	692
687	1521	689
688	1523	687
689	1524	684
690	1524	681
691	1525	679
692	1526	676
693	1526	673
694	1527	670
695	1527	667
696	1528	664
697	1528	661
698	1529	658
699	1529	655
700	1530	652
701	1531	650
702	1531	647
703	1532	644
704	1532	641
705	1533	638
706	1533	635
707	1534	632
708	1535	630
709	1535	627
710	1536	624
711	1536	621
712	1537	618
713	1537	615
714	1538	613
715	1538	610
716	1538	607
717	1539	604
718	1539	601
719	1540	599
720	1540	596
721	1541	593
722	1541	590
723	1541	587
724	1545	586
725	1551	585
726	1557	584
727	1558	582
728	1558	579
729	1559	576
730	1559	573
731	1562	571
732	1562	569
733	1562	566
734	1566	564
735	1568	562
736	1568	559
737	1569	557
738	1569	554
739	1570	551
740	1572	549
741	1572	546
742	1572	544
743	1573	541
744	1573	538
745	1574	535
746	1574	533
747	1576	530
748	1576	528
749	1576	525
750	1577	522
751	1577	520
752	1578	517
753	1578	515
754	1579	512
755	1579	509
756	1580	507
757	1580	504
758	1581	502
759	1581	499
760	1581	496
761	1582	494
762	1582	491
763	1583	489
764	1583	486
765	1586	484
766	1590	483
767	1593	481
768	1594	478
769	1594	476
770	1595	473
771	1596	471
772	1596	468
773	1596	466
774	1597	463
775	1597	461
776	1598	458
777	1598	456
778	1599	453
779	1599	451
780	1600	448
781	1600	446
782	1601	443
783	1601	441
784	1602	438
785	1602	436
786	1602	433
787	1603	431
788	1603	428
789	1603	426
790	1607	424
791	1607	422
792	1608	419
793	1609	417
794	1611	415
795	1612	413
796	1614	411
797	1615	408
798	1617	406
799	1617	404
800	1617	401
801	1618	399
802	1618	397
803	1619	394
804	1622	393
805	1623	390
806	1623	388
807	1625	386
808	1628	384
809	1631	382
810	1638	381
811	1641	380
812	1644	378
813	1645	375
814	1646	373
815	1647	371
816	1649	369
817	1650	367
818	1651	364
819	1651	362
820	1652	360
821	1653	358
822	1654	355
823	1655	353
824	1656	351
825	1656	348
826	1656	346
827	1657	344
828	1657	341
829	1658	339
830	1658	337
831	1659	335
832	1659	332
833	1660	330
834	1661	328
835	1661	325
836	1661	323
837	1662	321
838	1662	319
839	1663	316
840	1664	314
841	1664	312
842	1664	310
843	1665	307
844	1665	305
845	1666	303
846	1667	301
847	1670	299
848	1672	297
849	1674	295
850	1674	293
851	1675	291
852	1675	288
853	1676	286
854	1676	284
855	1677	282
856	1678	279
857	1678	277
858	1679	275
859	1681	273
860	1684	272
861	1686	269
862	1686	267
863	1688	265
864	1688	263
865	1689	261
866	1689	259
867	1690	257
868	1691	254
869	1691	252
870	1692	250
871	1694	248
872	1695	246
873	1698	244
874	1699	242
875	1700	240
876	1701	238
877	1703	236
878	1704	234
879	1705	232
880	1706	230
881	1706	228
882	1707	226
883	1707	224
884	1708	221
885	1710	220
886	1712	218
887	1714	216
888	1714	214
889	1714	211
890	1715	209
891	1716	207
892	1717	205
893	1718	203
894	1719	201
895	1719	199
896	1720	197
897	1720	195
898	1721	193
899	1723	191
900	1723	189
901	1724	187
902	1724	185
903	1725	183
904	1726	181
905	1727	179
906	1728	177
907	1728	175
908	1728	173
909	1729	171
910	1730	169
911	1730	167
912	1732	165
913	1733	163
914	1733	161
915	1734	159
916	1734	157
917	1735	155
918	1735	152
919	1736	150
920	1736	148
921	1737	147
922	1738	144
923	1738	142
924	1738	140
925	1739	138
926	1739	136
927	1740	135
928	1740	133
929	1741	131
930	1741	129
931	1741	127
932	1742	125
933	1742	123
934	1743	121
935	1743	119
936	1744	117
937	1746	115
938	1747	113
939	1749	111
940	1750	109
941	1750	107
942	1752	105
943	1753	104
944	1753	102
945	1753	100
946	1754	98
947	1754	96
948	1754	94
949	1755	92
950	1755	90
951	1756	88
952	1756	86
953	1756	84
954	1757	82
955	1757	80
956	1757	78
957	1758	77
958	1759	75
959	1759	73
960	1760	71
961	1760	69
962	1761	67
963	1761	65
964	1762	63
965	1762	62
966	1762	60
967	1763	58
968	1763	56
969	1763	54
970	1764	52
971	1765	50
972	1765	48
973	1767	47
974	1767	45
975	1768	43
976	1768	41
977	1770	39
978	1770	37
979	1770	36
980	1771	34
981	1771	32
982	1772	30
983	1772	28
984	1772	26
985	1773	25
986	1773	23
987	1773	21
988	1774	19
989	1774	17
990	1775	16
991	1775	14
992	1776	12
993	1776	10
994	1776	8
995	1777	7
996	1778	5
997	1778	3
998	1778	1
999	1779	0
