iter	RMSE
0	0.8381204288
1	0.8215036763
2	0.8043166347
3	0.8246261812
4	0.8082392564
5	0.7848384327
6	0.7680526155
7	0.7512616866
8	0.7339944999
9	0.7209951921
10	0.6993732108
11	0.6825161849
12	0.6676669398
13	0.6477357727
14	0.63579354
15	0.6282690313
16	0.6221139786
17	0.6138743853
18	0.6026670327
19	0.593843746
20	0.5816050484
21	0.5708311059
22	0.5575004913
23	0.5518451418
24	0.5433790757
25	0.5313177352
26	0.516021039
27	0.5102642999
28	0.5006676577
29	0.4926274945
30	0.4846057952
31	0.4730213496
32	0.4589262291
33	0.4525391246
34	0.4433661572
35	0.4362422847
36	0.4324559531
37	0.4222129198
38	0.4108182558
39	0.4027022255
40	0.3952417959
41	0.3877348446
42	0.3819224251
43	0.3653187763
44	0.3531878377
45	0.3463349217
46	0.3391811654
47	0.3321400979
48	0.322717657
49	0.3119624305
50	0.304319302
51	0.2983230783
52	0.2957388732
53	0.2909922018
54	0.2833763916
55	0.2710723224
56	0.2659080651
57	0.2615437854
58	0.2557340383
59	0.2476620913
60	0.2422269371
61	0.2322149199
62	0.2296628019
63	0.2261349476
64	0.2227007697
65	0.2194407945
66	0.2118336391
67	0.2086918909
68	0.200472991
69	0.1941456277
70	0.1866859759
71	0.1834727867
72	0.176895598
73	0.1737677971
74	0.1707647807
75	0.1683824238
76	0.1658335847
77	0.1611629055
78	0.1587604311
79	0.1543219947
80	0.1520600082
81	0.1478889683
82	0.1455088138
83	0.1417598841
84	0.1381594626
85	0.1346478508
86	0.1300359733
87	0.1280215646
88	0.1243196328
89	0.1221194495
90	0.1191663011
91	0.1151576885
92	0.1124291755
93	0.1098051392
94	0.1071483195
95	0.1054891269
96	0.1027280762
97	0.1011590453
98	0.09903742521
99	0.09756693683
100	0.09232120719
101	0.09050099743
102	0.08920028686
103	0.08690337917
104	0.08511525461
105	0.08132464429
106	0.07976417782
107	0.07836854635
108	0.07678914483
109	0.07278839361
110	0.07141784383
111	0.07021063728
112	0.06882805405
113	0.06586864065
114	0.06407767104
115	0.06330871866
116	0.06207800543
117	0.06109850084
118	0.05895638008
119	0.05799888709
120	0.05598877438
121	0.05534816781
122	0.05345454116
123	0.05170146828
124	0.05010392174
125	0.04953386446
126	0.04787114259
127	0.04633462855
128	0.04493477815
129	0.04424668197
130	0.04369574129
131	0.04272267873
132	0.04220570382
133	0.04160308478
134	0.0405739338
135	0.03964305002
136	0.03820061316
137	0.03759773584
138	0.03714545684
139	0.03600986515
140	0.03560940441
141	0.03452107683
142	0.03414593482
143	0.03324608272
144	0.03236683849
145	0.03177392124
146	0.03116605717
147	0.03012365257
148	0.02954210578
149	0.02908778047
150	0.02868546831
151	0.02830114908
152	0.0279609195
153	0.02760614366
154	0.02727469332
155	0.02636328168
156	0.02588801447
157	0.02538552903
158	0.02490802268
159	0.02416579775
160	0.02339351426
161	0.0226690047
162	0.02224700025
163	0.0218291374
164	0.02128939673
165	0.02079161999
166	0.02040919583
167	0.02006293738
168	0.01963526232
