Unnamed: 0,non,lin,Mac,sim,lgb,svr,cat,dct, extra,lstm,min_smape,selected_model,Null_points
NX1477,9.875947769,15.75198514,13.69720539,15.11849392,19.1860792,16.58845425,1000,16.68276126,19.18607913,1000,9.875947769,non,8760
NX1478,40.55403992,44.32283573,35.77480375,33.26370413,39.07467146,45.04054243,1000,44.99585808,39.07467144,1000,33.26370413,sim,8760
NX1479,31.67453629,40.27480029,34.43477232,34.48327616,36.86092262,36.79336364,1000,41.92706861,36.86092261,1000,31.67453629,non,8760
NX1480,31.38384857,30.87741574,30.75793538,35.78471942,37.35257507,36.30275868,1000,42.19983805,37.35257508,1000,30.75793538,Mac,8760
NX1481,36.09549031,40.78976632,33.07801541,31.52518491,32.86495517,33.74967979,1000,43.56977906,32.86495517,1000,31.52518491,sim,8760
NX1482,24.64250502,34.22856517,29.52083805,28.3910229,30.15875342,30.60813245,1000,37.20069896,30.15875344,1000,24.64250502,non,8760
NX1483,26.29547756,43.06011083,36.8464657,35.50601814,40.87223336,45.21636725,1000,46.56537111,40.87223334,1000,26.29547756,non,8760
NX1484,36.04429706,36.98703913,31.47110709,29.13579921,32.16253213,34.12278929,1000,41.21607936,32.16253218,1000,29.13579921,sim,8760
NX1485,6.4261106,14.04478451,11.06196256,16.17631272,17.76385869,30.53698257,1000,12.67013446,17.76385864,1000,6.4261106,non,8760
NX1486,17.564053100000002,22.93617397,20.73480471,19.82028755,21.63801699,22.74562899,1000,27.33438027,21.63801702,1000,17.564053100000002,non,8760
NX1487,39.99795651,42.91673002,40.26948974,38.64942016,43.31989652,43.07961374,1000,45.78629439,43.31989649,1000,38.64942016,sim,8760
NX1488,20.13867709,35.73839426,37.76864665,40.53371832,42.95739047,41.29537098,1000,43.89621606,42.95739048,1000,20.13867709,non,8760
NX1489,1.102789471,0.77802278,0.8507921759999999,0.628011009,0.861502434,0.9175481870000001,1000,1.047788795,0.861502366,1000,0.628011009,sim,8760
NX1490,38.97453495,32.87053767,31.66823054,37.72331181,38.49760607,31.11678739,1000,40.39509342,38.49760608,1000,31.11678739,svr,8760
NX1491,23.21444322,27.20752378,23.46277631,22.41325738,23.42912177,25.4503713,1000,31.14348293,23.42912176,1000,22.41325738,sim,8760
NX1492,32.32824207,35.78321858,25.49299374,23.96970044,25.52520026,29.28294944,1000,35.56041516,25.52520026,1000,23.96970044,sim,8760
NX1493,28.76619469,28.55569514,26.47327335,24.99798371,26.75989706,27.92327836,1000,34.79039372,26.75989709,1000,24.99798371,sim,8760
NX1494,34.90812596,33.47500883,32.90746012,32.37723529,33.63894452,34.52741596,1000,43.81694723,33.63894454,1000,32.37723529,sim,8760
NX1495,28.70095193,7.061577125,9.71644055,39.30812082,71.70671847,56.36369042,1000,17.86390112,71.70671875,1000,7.061577125,lin,8760
NX1496,21.41475158,37.21577729,31.113619699999997,33.383976000000004,35.23306027,34.29835762,1000,39.47616844,35.23306028,1000,21.41475158,non,8760
NX1497,28.155542999999998,33.17903497,30.29420514,28.30911103,30.39404175,32.63204364,1000,40.08228166,30.39404172,1000,28.155542999999998,non,8760
NX1498,66.03637407,54.52553676,42.81964498,36.712838399999995,55.80734374,42.79983255,1000,50.40828993,55.80734378,1000,36.712838399999995,sim,8760
NX1499,5.117002858,34.71982443,26.6139679,34.27271904,57.85130116,96.69524063,1000,20.51314469,57.8513012,1000,5.117002858,non,8760
NX1500,28.664079100000002,30.4415647,25.78253985,25.73618686,27.16531466,26.91353239,1000,33.02168289,27.16531464,1000,25.73618686,sim,8760
